繁體,簡體,拼音,詞例,定義,又作
堠,堠,hɐu⁶
肯,肯,hɐŋ²
啃,啃,hɐŋ²
鏗,铿,hɐŋ¹
哼,哼,hɐŋ¹,哼唱，哼歌，哼出來,（動詞）低聲歌唱
亨,亨,hɐŋ¹
吭,吭,hɐŋ¹,吭聲，吭氣，悶不吭聲，一聲不吭,（動詞）出聲，說話，發出聲音
桁,桁,hɐŋ⁴
恆,恒,hɐŋ⁴
衡,衡,hɐŋ⁴
姮,姮,hɐŋ⁴
珩,珩,hɐŋ⁴
行,行,hɐŋ⁴,行走，行軍，行李，行銷，行灶，行商，行營，行禮，行文，行裝，行篋，行頭，進行，通行，發行，風行，另行，即行，舉行，實行，日行千里，見機行事,走
行,行,hɐŋ⁴/hɔŋ⁴,行輩，排行,兄弟姐妹長幼的次序
悻,悻,hɐŋ⁶
杏,杏,hɐŋ⁶
幸,幸,hɐŋ⁶
倖,幸,hɐŋ⁶
婞,婞,hɐŋ⁶
行,行,hɐŋ⁶,言行，品行，罪行，德行，操行，道行，行將，不行，行了，真行,足以表明品質的舉止行動；可以；能幹；快要；僧道修行的功夫
愷,恺,hɔi²
海,海,hɔi²
鎧,铠,hɔi²
凱,凯,hɔi²
闓,闿,hɔi²
剴,剀,hɔi²
塏,垲,hɔi²
開,开,hɔi¹
咍,咍,hɔi¹
鐦,锎,hɔi¹
頦,颏,hɔi⁴/hɔi⁵
害,害,hɔi⁶
亥,亥,hɔi⁶
氦,氦,hɔi⁶
殼,壳,hɔk⁸
貉,貉,hɔk⁹
鶴,鹤,hɔk⁹
學,学,hɔk⁹
侃,侃,hɔn²
罕,罕,hɔn²
刊,刊,hɔn²/hɔn¹
看,看,hɔn³,看見，看書，看病，看望，看戲，看脈，察看，觀看，好看，看電影，看得起，試試看，看風使舵，刮目相看，另眼相看,瞧，注視，觀察，拜訪，探望
漢,汉,hɔn³
看,看,hɔn¹,看門，看家，看羊，看管，看守，看護，看押，看待,守護，監視，監管，照管，照顧，放牧
頇,顸,hɔn¹
韓,韩,hɔn⁴
邯,邯,hɔn⁴
鼾,鼾,hɔn⁴
寒,寒,hɔn⁴
汗,汗,hɔn⁴,可汗
旱,旱,hɔn⁵
悍,悍,hɔn⁶
瀚,瀚,hɔn⁶
捍,捍,hɔn⁶
汗,汗,hɔn⁶,汗水，流汗
翰,翰,hɔn⁶
焊,焊,hɔn⁶
渴,渴,hɔt⁸
喝,喝,hɔt⁸
鞨,鞨,hɔt⁸
褐,褐,hɔt⁸
可,可,hɔ²,可以，寧可
坷,坷,hɔ²
岢,岢,hɔ²
嗬,嗬,hɔ²
苛,苛,hɔ¹
訶,诃,hɔ¹
呵,呵,hɔ¹
慷,慷,hɔŋ²/kɔŋ²
匡,匡,hɔŋ¹
康,康,hɔŋ¹
糠,糠,hɔŋ¹
腔,腔,hɔŋ¹
劻,劻,hɔŋ¹
誆,诓,hɔŋ¹
眶,眶,hɔŋ¹/kwaŋ¹
筐,筐,hɔŋ¹/kwaŋ¹
行,行,hɔŋ⁴,行列，行家，行市，同行，外行，車行，單行，雙行，幾行字,行列，排；職業
航,航,hɔŋ⁴
杭,杭,hɔŋ⁴
降,降,hɔŋ⁴,降服，投降,向敵人屈服
吭,吭,hɔŋ⁴,引吭高歌，扼吭拊背,（名詞）喉嚨，咽喉
沆,沆,hɔŋ⁴
鴴,鸻,hɔŋ⁴/hɐŋ⁴
項,项,hɔŋ⁶
行,行,hɔŋ⁶,行行，樹行子,剛強的樣子；排成行列的樹木
巷,巷,hɔŋ⁶/hɔŋ²
何,何,hɔ⁴
河,河,hɔ⁴
荷,荷,hɔ⁴,荷花，荷塘，荷包，荷蘭，薄荷，荷爾蒙,蓮花
賀,贺,hɔ⁶
荷,荷,hɔ⁶,負荷，荷載，荷重，電荷，感荷,扛，背，負擔，承受
吃,吃,hɛk⁸,"","",喫
磬,磬,hɪŋ³
罄,罄,hɪŋ³
興,兴,hɪŋ³,興趣，興致，高興，掃興，雅興，助興，盡興，即興，乘興，敗興，興高采烈,喜愛的情緒
慶,庆,hɪŋ³
兄,兄,hɪŋ¹
卿,卿,hɪŋ¹
興,兴,hɪŋ¹,興建，興奮，興盛，興旺，興隆，興衰，興起，振興，復興，中興，時興，新興,發動，創辦，昌盛，旺盛，流行
馨,馨,hɪŋ¹
氫,氢,hɪŋ¹
輕,轻,hɪŋ¹/hɛŋ¹
脛,胫,hɪŋ⁵/gɪŋ³
哭,哭,hʊk⁷
酷,酷,hʊk⁹
槲,槲,hʊk⁹
恐,恐,hʊŋ²
孔,孔,hʊŋ²
控,控,hʊŋ³
哄,哄,hʊŋ³,哄騙，哄人，哄孩子,逗弄，用假話騙人
烘,烘,hʊŋ³/hʊŋ¹
鬨,哄,hʊŋ³/hʊŋ⁶,鬨鬧，起鬨，一鬨而散,喧鬧，笑鬧
匈,匈,hʊŋ¹
凶,凶,hʊŋ¹
箜,箜,hʊŋ¹
崆,崆,hʊŋ¹
胸,胸,hʊŋ¹
洶,汹,hʊŋ¹
兇,凶,hʊŋ¹,"","",凶
空,空,hʊŋ¹
哄,哄,hʊŋ¹,哄傳，哄動，哄然，哄勸，亂哄哄，哄堂大笑，哄抬物價,許多人同時發出喧譁聲或大笑聲
虹,虹,hʊŋ⁴
熊,熊,hʊŋ⁴
洪,洪,hʊŋ⁴
雄,雄,hʊŋ⁴
鴻,鸿,hʊŋ⁴
紅,红,hʊŋ⁴,紅色，臉紅,像鮮血一樣的顏色
蕻,蕻,hʊŋ⁴,雪裡蕻,一種花
訌,讧,hʊŋ⁴/hʊŋ³
蕻,蕻,hʊŋ⁶,菜蕻,茂盛的樣子
汞,汞,hʊŋ⁶/hʊŋ³,"","",銾
也,也,ja⁵
抑,抑,jik⁷
億,亿,jik⁷
臆,臆,jik⁷
益,益,jik⁷
憶,忆,jik⁷
鬩,阋,jik⁷
疫,疫,jik⁹
譯,译,jik⁹
繹,绎,jik⁹
亦,亦,jik⁹
奕,奕,jik⁹
驛,驿,jik⁹
役,役,jik⁹
翊,翊,jik⁹
液,液,jik⁹
翼,翼,jik⁹
弈,弈,jik⁹
蜴,蜴,jik⁹
腋,腋,jik⁹
翌,翌,jik⁹
易,易,jik⁹,易位，易容，易名，易經，易俗，易手，易服，易幟，易貨，交易，貿易，變易，易地而處，不易之論，以物易物，移風易俗，改弦易轍，時移勢易,改變，交換，變換；（姓）
弋,弋,jik⁹
掖,掖,jik⁹
杙,杙,jik⁹
燚,燚,jik⁹
懌,怿,jik⁹
逆,逆,jik⁹/ŋak⁹
魘,魇,jim²
掩,掩,jim²
揜,揜,jim²
饜,餍,jim³
厭,厌,jim³
淹,淹,jim¹
閹,阉,jim¹
奄,奄,jim¹
懨,恹,jim¹
醃,腌,jim¹/jip⁸
鹽,盐,jim⁴
炎,炎,jim⁴
嚴,严,jim⁴
髯,髯,jim⁴
蚺,蚺,jim⁴
嫌,嫌,jim⁴
閻,阎,jim⁴
閆,闫,jim⁴
簷,檐,jim⁴/sim⁴
冉,冉,jim⁵
儼,俨,jim⁵
苒,苒,jim⁵
染,染,jim⁵
琰,琰,jim⁵
驗,验,jim⁶
艷,艳,jim⁶
灧,滟,jim⁶,"","",灩
焰,焰,jim⁶,"","",燄
偃,偃,jin²
演,演,jin²
鼴,鼹,jin²
堰,堰,jin²
兗,兖,jin²
衍,衍,jin²/jin⁵
燕,燕,jin³,燕子，家燕
宴,宴,jin³
嚥,咽,jin³,嚥氣，吞嚥，嚥口水，狼吞虎嚥，細嚼慢嚥,吞
嬿,嬿,jin³
咽,咽,jin¹,咽喉，咽頭,食道的上端部分
煙,烟,jin¹,煙草，抽煙,"",菸
湮,湮,jin¹
焉,焉,jin¹,焉能如此，焉知非福，焉得虎子,（疑問詞）豈，怎麼，如何
胭,胭,jin¹
蔫,蔫,jin¹
煙,烟,jin¹,煙火，冒煙
燕,燕,jin¹,燕京,（姓，地名）
嫣,嫣,jin¹
鄢,鄢,jin¹
閼,阏,jin¹,閼氏,匈奴人妻或妾的稱號
延,延,jin⁴
燃,燃,jin⁴
筵,筵,jin⁴
妍,妍,jin⁴
蜒,蜒,jin⁴
焉,焉,jin⁴,心不在焉，有厚望焉,此，乃，才
言,言,jin⁴
涎,涎,jin⁴
研,研,jin⁴
賢,贤,jin⁴
然,然,jin⁴
舷,舷,jin⁴
弦,弦,jin⁴,"","",絃
綖,𫄧,jin⁴
埏,埏,jin⁴
娫,娫,jin⁴
莧,苋,jin⁶
硯,砚,jin⁶
現,现,jin⁶
彥,彦,jin⁶
讞,谳,jin⁶
諺,谚,jin⁶
唁,唁,jin⁶
靨,靥,jip⁸
葉,叶,jip⁹
燁,烨,jip⁹
業,业,jip⁹
頁,页,jip⁹
鄴,邺,jip⁹
曄,晔,jip⁹
謁,谒,jit⁸
噎,噎,jit⁸
咽,咽,jit⁸,哽咽，嗚咽,阻塞；聲音低沉、悲悽、滯澀
熱,热,jit⁹
拽,拽,jit⁹
孽,孽,jit⁹
櫱,蘖,jit⁹
臬,臬,jit⁹/nip⁹
夭,夭,jiu²,夭亡，夭折，夭殤，壽夭,短命，未成年而早死
窈,窈,jiu²
擾,扰,jiu²/jiu⁵
繞,绕,jiu²/jiu⁵,"","",遶
要,要,jiu³,要緊，要點，要旨，要是，要素，要命，要塞，要好，要害，重要，主要，提要，摘要,嚴重，關鍵，緊要，需要
么,幺,jiu¹
腰,腰,jiu¹
妖,妖,jiu¹
邀,邀,jiu¹
吆,吆,jiu¹
要,要,jiu¹,要求，要挾,求取，脅迫，強迫
夭,夭,jiu¹,夭夭，逃之夭夭,茂盛的樣子
姚,姚,jiu⁴
謠,谣,jiu⁴
鰩,鳐,jiu⁴
饒,饶,jiu⁴
颻,飖,jiu⁴
嬈,娆,jiu⁴
搖,摇,jiu⁴
瑤,瑶,jiu⁴
堯,尧,jiu⁴
窯,窑,jiu⁴
遙,遥,jiu⁴
洮,洮,jiu⁴,洮湖,（湖名）
徭,徭,jiu⁴
傜,傜,jiu⁴
垚,垚,jiu⁴
舀,舀,jiu⁵
曜,曜,jiu⁶
鷂,鹞,jiu⁶
耀,耀,jiu⁶
椅,椅,ji²
綺,绮,ji²
倚,倚,ji²
旖,旖,ji²
齮,齮,ji²
鐿,镱,ji³
薏,薏,ji³
癔,癔,ji³
意,意,ji³
懿,懿,ji³
依,依,ji¹
衣,衣,ji¹
銥,铱,ji¹
漪,漪,ji¹
醫,医,ji¹
伊,伊,ji¹
黟,黟,ji¹
猗,猗,ji¹
禕,祎,ji¹
詒,诒,ji⁴
怡,怡,ji⁴
而,而,ji⁴
誼,谊,ji⁴
頤,颐,ji⁴
迤,迤,ji⁴,逶迤
儀,仪,ji⁴
姨,姨,ji⁴
宜,宜,ji⁴
夷,夷,ji⁴
疑,疑,ji⁴
貽,贻,ji⁴
兒,儿,ji⁴
痍,痍,ji⁴
胰,胰,ji⁴
移,移,ji⁴
飴,饴,ji⁴
咦,咦,ji⁴
彞,彝,ji⁴
沂,沂,ji⁴,沂河,（水名）
眙,眙,ji⁴
蛇,蛇,ji⁴,委蛇，虛與委蛇
匜,匜,ji⁴
議,议,ji⁵
矣,矣,ji⁵
以,以,ji⁵
邇,迩,ji⁵
耳,耳,ji⁵
已,已,ji⁵
擬,拟,ji⁵
迤,迤,ji⁵,迤邐
洱,洱,ji⁵
爾,尔,ji⁵
苡,苡,ji⁵
貳,贰,ji⁶
異,异,ji⁶
肄,肄,ji⁶
義,义,ji⁶
劓,劓,ji⁶
二,二,ji⁶
易,易,ji⁶,易燃，易懂，易安，容易，簡易，輕易，易拉罐，易如反掌，易守難攻，平易近人，輕而易舉，顯而易見，知難行易，得來不易,簡單，不困難，不須費力的；平和，和藹
宛,宛,jyn²
苑,苑,jyn²
婉,婉,jyn²
琬,琬,jyn²
菀,菀,jyn²
畹,畹,jyn²
朊,朊,jyn²
惋,惋,jyn²/wun²
怨,怨,jyn³
蜿,蜿,jyn¹
鴛,鸳,jyn¹
淵,渊,jyn¹
冤,冤,jyn¹,"","",寃
鳶,鸢,jyn¹
轅,辕,jyn⁴
圓,圆,jyn⁴
猿,猿,jyn⁴
眩,眩,jyn⁴
緣,缘,jyn⁴
元,元,jyn⁴
員,员,jyn⁴
玄,玄,jyn⁴
芫,芫,jyn⁴
源,源,jyn⁴
園,园,jyn⁴
鉛,铅,jyn⁴
烷,烷,jyn⁴
沿,沿,jyn⁴
懸,悬,jyn⁴
原,原,jyn⁴
袁,袁,jyn⁴
完,完,jyn⁴
沅,沅,jyn⁴
紈,纨,jyn⁴
塬,塬,jyn⁴,"",（地名）
螈,螈,jyn⁴
黿,鼋,jyn⁴
圜,圜,jyn⁴,圜丘，圜牆，圜扉,圓，圓形
櫞,橼,jyn⁴
丸,丸,jyn⁴/jyn²
爰,爰,jyn⁴/wun⁴
阮,阮,jyn⁵
軟,软,jyn⁵
遠,远,jyn⁵,遠處，永遠，深遠,不近，距離或時間長
泫,泫,jyn⁵
願,愿,jyn⁶
院,院,jyn⁶
縣,县,jyn⁶
炫,炫,jyn⁶/jyn⁴
遠,远,jyn⁶/jyn⁵,敬而遠之,不接近，不親近
乙,乙,jyt⁸/jyt⁹
閱,阅,jyt⁹
穴,穴,jyt⁹
越,越,jyt⁹
釔,钇,jyt⁹
鉞,钺,jyt⁹
月,月,jyt⁹
粵,粤,jyt⁹
悅,悦,jyt⁹
玥,玥,jyt⁹
曰,曰,jyt⁹/jœk⁹
瘀,瘀,jy²
嫗,妪,jy²
傴,伛,jy²
酗,酗,jy³/hœy²/hœy³
迂,迂,jy¹
於,于,jy¹,於是，終於,（介詞）
淤,淤,jy¹
紆,纡,jy¹
渝,渝,jy⁴
輿,舆,jy⁴
揄,揄,jy⁴
如,如,jy⁴
俞,俞,jy⁴
虞,虞,jy⁴
萸,萸,jy⁴
隅,隅,jy⁴
予,予,jy⁴,予取予求,我，吾
覦,觎,jy⁴
儒,儒,jy⁴
諛,谀,jy⁴
茹,茹,jy⁴
狳,狳,jy⁴
嚅,嚅,jy⁴
娛,娱,jy⁴
漁,渔,jy⁴
盂,盂,jy⁴
魚,鱼,jy⁴
歟,欤,jy⁴
余,余,jy⁴,"",（代詞、姓）我
蠕,蠕,jy⁴
于,于,jy⁴,"",（姓）
蝓,蝓,jy⁴
榆,榆,jy⁴
餘,余,jy⁴,餘下，餘留，多餘，業餘，剩餘，有餘，之餘，餘音繞樑，不遺餘力，心有餘悸,剩下的，多出的，不盡的，殘留的，未完的,馀
禺,禺,jy⁴
逾,逾,jy⁴
臾,臾,jy⁴
竽,竽,jy⁴
濡,濡,jy⁴
愚,愚,jy⁴
妤,妤,jy⁴
愉,愉,jy⁴
瑜,瑜,jy⁴
踰,逾,jy⁴
腴,腴,jy⁴
薷,薷,jy⁴
雩,雩,jy⁴
璵,玙,jy⁴
嶼,嶼,jy⁴,大嶼山,（地名）
褕,褕,jy⁴
顬,颥,jy⁴
嬬,嬬,jy⁴
孺,孺,jy⁴/jy⁶
雨,雨,jy⁵
羽,羽,jy⁵
乳,乳,jy⁵
宇,宇,jy⁵
語,语,jy⁵,語言，口語,（名詞）話
與,与,jy⁵,與其，授與，給與，贈與，與虎謀皮，與人為善，與人方便，時不我與,（連詞）和，跟；（動詞）給，贈，贊助
禹,禹,jy⁵
齬,龉,jy⁵
圄,圄,jy⁵
瑀,瑀,jy⁵
予,予,jy⁵,賜予，賦予，給予，贈予，寄予，不予置評,授，給
敔,敔,jy⁵
貐,貐,jy⁵
汝,汝,jy⁵
圉,圉,jy⁵
窳,窳,jy⁵
諭,谕,jy⁶
寓,寓,jy⁶
裕,裕,jy⁶
御,御,jy⁶
愈,愈,jy⁶
馭,驭,jy⁶
癒,愈,jy⁶
預,预,jy⁶
遇,遇,jy⁶
譽,誉,jy⁶
豫,豫,jy⁶
與,与,jy⁶,與會，與賽，參與,（動詞）參加
語,语,jy⁶,不以語人,（動詞）告訴
禦,御,jy⁶
喻,喻,jy⁶
蕷,蓣,jy⁶
籲,吁,jy⁶
澦,滪,jy⁶
約,约,jœk⁸
鑰,钥,jœk⁹
藥,药,jœk⁹
若,若,jœk⁹,若干，倘若，如若，宛若，旁若無人，欣喜若狂,如，似，如果，假如，好像
虐,虐,jœk⁹
謔,谑,jœk⁹
躍,跃,jœk⁹
瘧,疟,jœk⁹
蒻,蒻,jœk⁹
弱,弱,jœk⁹
籥,籥,jœk⁹
龠,龠,jœk⁹
瀹,瀹,jœk⁹
箬,箬,jœk⁹
潤,润,jœn⁶
閏,闰,jœn⁶
蕤,蕤,jœy⁴
蕊,蕊,jœy⁵
銳,锐,jœy⁶
裔,裔,jœy⁶
睿,睿,jœy⁶
芮,芮,jœy⁶
蚋,蚋,jœy⁶
叡,叡,jœy⁶
鞅,鞅,jœŋ²
秧,秧,jœŋ¹
鴦,鸯,jœŋ¹
央,央,jœŋ¹
殃,殃,jœŋ¹
洋,洋,jœŋ⁴
暘,旸,jœŋ⁴
佯,佯,jœŋ⁴
揚,扬,jœŋ⁴
陽,阳,jœŋ⁴
羊,羊,jœŋ⁴
颺,飏,jœŋ⁴
瘍,疡,jœŋ⁴
烊,烊,jœŋ⁴
楊,杨,jœŋ⁴
徉,徉,jœŋ⁴
瀼,瀼,jœŋ⁴
禳,禳,jœŋ⁴
穰,穰,jœŋ⁴
蘘,蘘,jœŋ⁴
煬,炀,jœŋ⁴
攘,攘,jœŋ⁴,攘外，攘奪，攘除，攘臂，攘為己有,搶奪，侵奪，排斥，抵禦；捋起
勷,勷,jœŋ⁴
仰,仰,jœŋ⁵
養,养,jœŋ⁵
氧,氧,jœŋ⁵
攘,攘,jœŋ⁵,熙攘，擾攘，熙熙攘攘,擾亂
癢,痒,jœŋ⁵
嚷,嚷,jœŋ⁵/jœŋ⁶
讓,让,jœŋ⁶
樣,样,jœŋ⁶
漾,漾,jœŋ⁶
壤,壤,jœŋ⁶
釀,酿,jœŋ⁶
恙,恙,jœŋ⁶
跩,跩,jɐi⁶
曳,曳,jɐi⁶
勩,勚,jɐi⁶/ji⁶
飲,饮,jɐm²
蔭,荫,jɐm³
窨,窨,jɐm³
音,音,jɐm¹
陰,阴,jɐm¹
欽,钦,jɐm¹
歆,歆,jɐm¹
鑫,鑫,jɐm¹
喑,喑,jɐm¹
壬,壬,jɐm⁴
霪,霪,jɐm⁴
淫,淫,jɐm⁴
吟,吟,jɐm⁴
任,任,jɐm⁴,任縣，任丘,（姓，地名）
荏,荏,jɐm⁵/jɐm⁶
妊,妊,jɐm⁶
飪,饪,jɐm⁶
任,任,jɐm⁶,任務，任意，任命，任職，任用，任憑，信任，重任，擔任，就任，離任，委任，連任，放任，聽之任之，任重道遠,擔當，承受，職責，職務，委派
任,任,jɐm⁶,任縣，任丘,（俗：姓，地名）
賃,赁,jɐm⁶
衽,衽,jɐm⁶,"","",袵
隱,隐,jɐn²
忍,忍,jɐn²
印,印,jɐn³
鮣,䲟,jɐn³
氤,氤,jɐn¹
恩,恩,jɐn¹
因,因,jɐn¹
茵,茵,jɐn¹
堙,堙,jɐn¹,"","",陻
姻,姻,jɐn¹
甄,甄,jɐn¹
昕,昕,jɐn¹
欣,欣,jɐn¹
殷,殷,jɐn¹
忻,忻,jɐn¹
洇,洇,jɐn¹
妡,妡,jɐn¹
蒽,蒽,jɐn¹
炘,炘,jɐn¹
仁,仁,jɐn⁴
夤,夤,jɐn⁴
寅,寅,jɐn⁴
人,人,jɐn⁴
蚓,蚓,jɐn⁵
引,引,jɐn⁵
癮,瘾,jɐn⁵/jɐn²
釁,衅,jɐn⁶
孕,孕,jɐn⁶
胤,胤,jɐn⁶
紉,纫,jɐn⁶
刃,刃,jɐn⁶
仞,仞,jɐn⁶
屻,屻,jɐn⁶
韌,韧,jɐn⁶/ŋɐŋ⁶
泣,泣,jɐp⁷
熠,熠,jɐp⁷
悒,悒,jɐp⁷
翕,翕,jɐp⁷
挹,挹,jɐp⁷
邑,邑,jɐp⁷
揖,揖,jɐp⁷
入,入,jɐp⁹
壹,壹,jɐt⁷
一,一,jɐt⁷
逸,逸,jɐt⁹
軼,轶,jɐt⁹
日,日,jɐt⁹
溢,溢,jɐt⁹
佚,佚,jɐt⁹
鎰,镒,jɐt⁹
佾,佾,jɐt⁹
黝,黝,jɐu²
柚,柚,jɐu²,柚子，葡萄柚,一種常綠喬木
幼,幼,jɐu³
丘,丘,jɐu¹
休,休,jɐu¹
幽,幽,jɐu¹
憂,忧,jɐu¹
邱,邱,jɐu¹
優,优,jɐu¹
蚯,蚯,jɐu¹
貅,貅,jɐu¹
鵂,鸺,jɐu¹
咻,咻,jɐu¹
髹,髹,jɐu¹
疣,疣,jɐu⁴
郵,邮,jɐu⁴
柔,柔,jɐu⁴
攸,攸,jɐu⁴
油,油,jɐu⁴
揉,揉,jɐu⁴
遊,游,jɐu⁴
鈾,铀,jɐu⁴
酋,酋,jɐu⁴
猶,犹,jɐu⁴
魷,鱿,jɐu⁴
悠,悠,jɐu⁴
由,由,jɐu⁴
尤,尤,jɐu⁴
蹂,蹂,jɐu⁴
游,游,jɐu⁴
蚰,蚰,jɐu⁴,蚰蜒
楢,楢,jɐu⁴
鞣,鞣,jɐu⁴
猷,猷,jɐu⁴
蝣,蝣,jɐu⁴
柚,柚,jɐu⁴/jɐu²,柚木,一種落葉喬木
酉,酉,jɐu⁵
友,友,jɐu⁵
誘,诱,jɐu⁵
有,有,jɐu⁵
莠,莠,jɐu⁵
牖,牖,jɐu⁵
釉,釉,jɐu⁶
又,又,jɐu⁶
囿,囿,jɐu⁶
宥,宥,jɐu⁶
侑,侑,jɐu⁶
佑,佑,jɐu⁶,"","",祐
右,右,jɐu⁶
鼬,鼬,jɐu⁶
狖,狖,jɐu⁶
唷,唷,jɔ¹
喲,哟,jɔ¹
贏,赢,jɛŋ⁴,"",（口語）
椰,椰,jɛ⁴
邪,邪,jɛ⁴,是邪，非邪，莫邪,（文言）表示疑問、感嘆等語氣,耶
揶,揶,jɛ⁴
耶,耶,jɛ⁴
爺,爷,jɛ⁴
琊,琊,jɛ⁴,瑯琊,（地名）
倻,倻,jɛ⁴
鋣,铘,jɛ⁴
冶,冶,jɛ⁵
野,野,jɛ⁵
惹,惹,jɛ⁵
若,若,jɛ⁵,般若，蘭若,（梵文音譯詞）
夜,夜,jɛ⁶
偌,偌,jɛ⁶
映,映,jɪŋ²
影,影,jɪŋ²
癭,瘿,jɪŋ²
應,应,jɪŋ³,應用，答應，回應
瑛,瑛,jɪŋ¹
膺,膺,jɪŋ¹
纓,缨,jɪŋ¹
嬰,婴,jɪŋ¹
應,应,jɪŋ¹,應該，理應
櫻,樱,jɪŋ¹
英,英,jɪŋ¹
鸚,鹦,jɪŋ¹
鷹,鹰,jɪŋ¹
媖,媖,jɪŋ¹
嫈,嫈,jɪŋ¹
營,营,jɪŋ⁴
瀠,潆,jɪŋ⁴
形,形,jɪŋ⁴
刑,刑,jɪŋ⁴
蠅,蝇,jɪŋ⁴
仍,仍,jɪŋ⁴
嬴,嬴,jɪŋ⁴
瀛,瀛,jɪŋ⁴
縈,萦,jɪŋ⁴
螢,萤,jɪŋ⁴
邢,邢,jɪŋ⁴
贏,赢,jɪŋ⁴,贏錢，輸贏
楹,楹,jɪŋ⁴
迎,迎,jɪŋ⁴,"","",迊
盈,盈,jɪŋ⁴
瑩,莹,jɪŋ⁴
凝,凝,jɪŋ⁴
型,型,jɪŋ⁴
熒,荧,jɪŋ⁴
陘,陉,jɪŋ⁴
滎,荥,jɪŋ⁴
鎣,蓥,jɪŋ⁴
鉶,铏,jɪŋ⁴
溋,溋,jɪŋ⁴
瀅,滢,jɪŋ⁴/jɪŋ⁶
郢,郢,jɪŋ⁵
認,认,jɪŋ⁶
煜,煜,jʊk⁷
毓,毓,jʊk⁷
郁,郁,jʊk⁷
沃,沃,jʊk⁷
昱,昱,jʊk⁷
彧,彧,jʊk⁷
頊,顼,jʊk⁷
旭,旭,jʊk⁷
鋈,鋈,jʊk⁷
蓐,蓐,jʊk⁹
褥,褥,jʊk⁹
鈺,钰,jʊk⁹
浴,浴,jʊk⁹
辱,辱,jʊk⁹
育,育,jʊk⁹
獄,狱,jʊk⁹
肉,肉,jʊk⁹
欲,欲,jʊk⁹
玉,玉,jʊk⁹
慾,欲,jʊk⁹
縟,缛,jʊk⁹
鬻,鬻,jʊk⁹
峪,峪,jʊk⁹/jy⁶
佣,佣,jʊŋ²
踴,踊,jʊŋ²
俑,俑,jʊŋ²
湧,涌,jʊŋ²
冗,冗,jʊŋ²
擁,拥,jʊŋ²
臃,臃,jʊŋ²
蛹,蛹,jʊŋ²
慂,恿,jʊŋ²
蓊,蓊,jʊŋ²
甬,甬,jʊŋ²
翁,翁,jʊŋ¹
雍,雍,jʊŋ¹
廱,廱,jʊŋ¹
邕,邕,jʊŋ¹
嗡,嗡,jʊŋ¹
饔,饔,jʊŋ¹
癰,痈,jʊŋ¹
鶲,鹟,jʊŋ¹
戎,戎,jʊŋ⁴
茸,茸,jʊŋ⁴
鱅,鳙,jʊŋ⁴
慵,慵,jʊŋ⁴
溶,溶,jʊŋ⁴
融,融,jʊŋ⁴
榕,榕,jʊŋ⁴
蓉,蓉,jʊŋ⁴
傭,佣,jʊŋ⁴
庸,庸,jʊŋ⁴
熔,熔,jʊŋ⁴
鏞,镛,jʊŋ⁴
容,容,jʊŋ⁴
狨,狨,jʊŋ⁴
墉,墉,jʊŋ⁴
絨,绒,jʊŋ⁴/jʊŋ²
勇,勇,jʊŋ⁵
用,用,jʊŋ⁶
楷,楷,kai²
蒈,蒈,kai²
鍇,锴,kai²/gai¹
揢,揢,kak⁸
咯,咯,kak⁸,咯血，咯痰,嘔，吐
卡,卡,kat⁷,卡片，刷卡，磁卡，信用卡，借書卡，資料卡,卡片的簡稱
銬,铐,kau³
靠,靠,kau³
卡,卡,ka²/ka¹,卡住，卡緊，卡子，關卡，髮卡，稅卡,夾在中間不能活動；夾子
髂,髂,ka³
喀,喀,ka¹
卡,卡,ka¹,卡車，卡通，卡規，卡尺，大卡，卡路里，卡賓槍,（音譯用字）
拤,拤,ka¹
暨,暨,kei³
冀,冀,kei³
驥,骥,kei³
騎,骑,kei³,騎士，騎兵，騎哨，輕騎，鐵騎，坐騎，車騎，騎從，騎手，單騎，邊騎，探騎，突騎，胡騎，驍騎，梟騎，驃騎，精騎，騎置，驛騎，一騎，千騎,指馬兵，騎兵，或騎馬的人
崎,崎,kei¹
耆,耆,kei⁴
鰭,鳍,kei⁴
俟,俟,kei⁴,万俟,（姓）
旗,旗,kei⁴
奇,奇,kei⁴,奇怪，奇蹟，奇兵，稀奇，驚奇，不足為奇,特別，怪異，罕見，特殊，不尋常
岐,岐,kei⁴
棋,棋,kei⁴
琪,琪,kei⁴
旂,旂,kei⁴
琦,琦,kei⁴
歧,歧,kei⁴
淇,淇,kei⁴
祈,祈,kei⁴
其,其,kei⁴
萁,萁,kei⁴
麒,麒,kei⁴
期,期,kei⁴,期間，期限，期待，期望，期刊，期末，期滿，時期，到期，長期，假期，定期，星期，如期，過期，學期，週期，初期，不期而遇，遙遙無期,限定的時間
祺,祺,kei⁴
祁,祁,kei⁴
蘄,蕲,kei⁴
祇,祇,kei⁴,神祇,（古）地神,祗
錡,锜,kei⁴
圻,圻,kei⁴,"",邊界，地界；方圓千里之地
䓫,䓫,kei⁴
企,企,kei⁵
黔,黔,kim⁴
鉗,钳,kim⁴
虔,虔,kin⁴
掮,掮,kin⁴
乾,乾,kin⁴,乾坤，乾宅,八卦之一
犍,犍,kin⁴,犍為縣,（地名）
黠,黠,kit⁸
孑,孑,kit⁸
揭,揭,kit⁸
詰,诘,kit⁸
羯,羯,kit⁸
竭,竭,kit⁸
鍥,锲,kit⁸
頡,颉,kit⁸
碣,碣,kit⁸
劼,劼,kit⁸
