繁體,簡體,拼音,詞例,定義,又作
衄,衄,nʊk˨,"","",衂
忸,忸,nʊk˨/nɐu˧˥
農,农,nʊŋ˨˩
濃,浓,nʊŋ˨˩
儂,侬,nʊŋ˨˩
膿,脓,nʊŋ˨˩
噥,哝,nʊŋ˨˩
鏖,鏖,ou˥/ŋou˨˩
懊,懊,ou˧
澳,澳,ou˧
奧,奥,ou˧
襖,袄,ou˧/ou˧˥
媼,媪,ou˧˥
掰,掰,paːi˥/maːk˧
拜,拜,paːi˧
擺,摆,paːi˧˥
襬,摆,paːi˧˥
捭,捭,paːi˧˥
敗,败,paːi˨
稗,稗,paːi˨
唄,呗,paːi˨,唄唱，梵唄,（佛）唱讚，歌讚，念誦經文，唱頌短偈
迫,迫,paːk˥/pɪk˥
伯,伯,paːk˧
佰,佰,paːk˧
百,百,paːk˧
匐,匐,paːk˨
帛,帛,paːk˨
蔔,卜,paːk˨
白,白,paːk˨
僰,僰,paːk˨/pɐt˨/pɔːk˧
斑,斑,paːn˥
班,班,paːn˥
瘢,瘢,paːn˥
頒,颁,paːn˥
扮,扮,paːn˧,扮演，扮鬼臉，女扮男裝，扮老頭兒,化裝成，面部表情裝成
版,版,paːn˧˥
舨,舨,paːn˧˥
板,板,paːn˧˥
闆,板,paːn˧˥
坂,坂,paːn˧˥,"","",阪
扮,扮,paːn˨,打扮，裝扮,打扮，裝扮
辦,办,paːn˨
湴,湴,paːn˨
捌,捌,paːt˧
八,八,paːt˧
茇,茇,paːt˨
褒,褒,paːu˥
包,包,paːu˥
鮑,鲍,paːu˥,鮑魚,指活鮑魚
苞,苞,paːu˥
胞,胞,paːu˥
孢,孢,paːu˥
爆,爆,paːu˧
飽,饱,paːu˧˥
鮑,鲍,paːu˨,鮑魚,姓；也指乾鮑魚
齙,龅,paːu˨
蹦,蹦,paːŋ˨
叭,叭,paː˥
疤,疤,paː˥
粑,粑,paː˥
芭,芭,paː˥
笆,笆,paː˥
爸,爸,paː˥
葩,葩,paː˥
巴,巴,paː˥
吧,吧,paː˥,吧枱，吧嗒，吧唧，酒吧，沙拉吧，吧的一聲,（音譯詞）小酒館；（象聲詞）爆裂聲
霸,霸,paː˧
壩,坝,paː˧
灞,灞,paː˧
鈀,钯,paː˧˥
靶,靶,paː˧˥
把,把,paː˧˥
㞎,㞎,paː˧˥
吧,吧,paː˨,好吧，去吧，說吧，不會吧，算了吧,（語氣助詞）表示可以，允許，推測，估量，命令等
罷,罢,paː˨
碑,碑,pei˥
卑,卑,pei˥
裨,裨,pei˥,裨益，無裨於事，大有裨益,補助
悲,悲,pei˥
屄,屄,pei˥
臂,臂,pei˧
痺,痹,pei˧
秘,秘,pei˧,"","",祕
泌,泌,pei˧
庇,庇,pei˧
轡,辔,pei˧
鉍,铋,pei˧
賁,贲,pei˧,賁臨，賁然,裝飾美好，華麗，光潔
比,比,pei˧˥
彼,彼,pei˧˥
妣,妣,pei˧˥
秕,秕,pei˧˥
吡,吡,pei˧˥,吡啶，吡咯,（音譯用字）一種有機化合物
匕,匕,pei˧˥/pei˧
備,备,pei˨
被,被,pei˨,被動，被害，被迫
鼻,鼻,pei˨
箆,箆,pei˨
避,避,pei˨
糒,糒,pei˨
憊,惫,pei˨/paːi˨
邊,边,piːn˥
辮,辫,piːn˥
鞭,鞭,piːn˥
煸,煸,piːn˥
砭,砭,piːn˥
變,变,piːn˧
扁,扁,piːn˧˥,扁平，踩扁
匾,匾,piːn˧˥
貶,贬,piːn˧˥
鯿,鳊,piːn˧˥
便,便,piːn˨,便利，方便
卞,卞,piːn˨
辯,辩,piːn˨
辨,辨,piːn˨
汴,汴,piːn˨
觱,觱,piːt˥
必,必,piːt˥
彆,别,piːt˧
憋,憋,piːt˧
鱉,鳖,piːt˧
蹩,蹩,piːt˨
別,别,piːt˨
癟,瘪,piːt˨
馝,馝,piːt˨
鑣,镳,piːu˥
彪,彪,piːu˥
標,标,piːu˥
錶,表,piːu˥
鏢,镖,piːu˥
飆,飙,piːu˥
膘,膘,piːu˥
驃,骠,piːu˥,黃驃馬,一種黃毛夾有白色斑點的馬
熛,熛,piːu˥
婊,婊,piːu˧˥
表,表,piːu˧˥
裱,裱,piːu˧˥
晡,晡,pou˥
佈,布,pou˧
埔,埔,pou˧
怖,怖,pou˧
報,报,pou˧
布,布,pou˧
保,保,pou˧˥
鴇,鸨,pou˧˥
堡,堡,pou˧˥
圃,圃,pou˧˥
寶,宝,pou˧˥
葆,葆,pou˧˥
補,补,pou˧˥
褓,褓,pou˧˥
步,步,pou˨
捕,捕,pou˨
暴,暴,pou˨
哺,哺,pou˨
簿,簿,pou˨
部,部,pou˨
埠,埠,pou˨/fɐu˨
杯,杯,puːi˥,"","",盃
貝,贝,puːi˧
背,背,puːi˧,背部，背後，背景，背面，背影，背光，背脊，背叛，背棄，背約，背陰，背離，違背，駝背，後背，手背，紙背，背對着，背著臉，背地裡，背著人，背山面海，背井離鄉，背道而馳，背信棄義，背水一戰，腹背受敵，芒刺在背，汗流浹背，人心向背，力透紙背,（名詞）背部
輩,辈,puːi˧
狽,狈,puːi˧
背,背,puːi˧,背債，背負，背包，背槍，背黑鍋，背包袱，背小孩，背責任，背起來，背得起，背負重任,（動詞）用脊背馱東西,揹
鋇,钡,puːi˧
褙,褙,puːi˧
背,背,puːi˨,背書，背誦，背熟，背靜，很背，背運，背時，耳背，背聽，背台詞，手氣背，背街小巷,（動詞、形容詞）默念，記憶；偏僻；聽力不好
悖,悖,puːi˨
焙,焙,puːi˨
般,般,puːn˥,一般，那般，百般，萬般無奈，如此這般,種，樣，種類
搬,搬,puːn˥
半,半,puːn˧
本,本,puːn˧˥
畚,畚,puːn˧˥
苯,苯,puːn˧˥
拌,拌,puːn˨
叛,叛,puːn˨
絆,绊,puːn˨
畔,畔,puːn˨
胖,胖,puːn˨
伴,伴,puːn˨
缽,钵,puːt˧,"","",鉢，砵
荸,荸,puːt˨
渤,渤,puːt˨
撥,拨,puːt˨
勃,勃,puːt˨
脖,脖,puːt˨
鵓,鹁,puːt˨
馞,馞,puːt˨
跛,跛,pɐi˥/pɔː˧˥
蔽,蔽,pɐi˧
閉,闭,pɐi˧
贔,赑,pɐi˧
敝,敝,pɐi˨
弊,弊,pɐi˨
陛,陛,pɐi˨
斃,毙,pɐi˨
狴,狴,pɐi˨
幣,币,pɐi˨
北,北,pɐk˥
泵,泵,pɐm˥
乓,乓,pɐm˥/pʰɔːŋ˥
奔,奔,pɐn˥
檳,槟,pɐn˥
賓,宾,pɐn˥
繽,缤,pɐn˥
濱,滨,pɐn˥
斌,斌,pɐn˥
彬,彬,pɐn˥
賁,贲,pɐn˥,賁張，賁門，虎賁,膈膜，橫隔膜
錛,锛,pɐn˥
擯,摈,pɐn˧
殯,殡,pɐn˧
鬢,鬓,pɐn˧
儐,傧,pɐn˧
品,品,pɐn˧˥
稟,禀,pɐn˧˥
笨,笨,pɐn˨
不,不,pɐt˥
筆,笔,pɐt˥
畢,毕,pɐt˥
鈈,钚,pɐt˥
嗶,哔,pɐt˥
篳,筚,pɐt˥
蹕,跸,pɐt˥
蓽,荜,pɐt˥
潷,滗,pɐt˥/pei˧
拔,拔,pɐt˨
鈸,钹,pɐt˨
弼,弼,pɐt˨
跋,跋,pɐt˨
苾,苾,pɐt˨
菝,菝,pɐt˨
崩,崩,pɐŋ˥
鏰,镚,pɐŋ˥
繃,绷,pɐŋ˥,繃緊，繃帶，繃子，繃硬，繃亮，繃脆，繃直，緊繃，繃床，緊繃繃，繃場面，繃了一道縫兒,張緊，拉緊，包紮；裂開；（用於形容詞前表示程度深）非常，很,綳
膊,膊,pɔːk˧
博,博,pɔːk˧
搏,搏,pɔːk˧
駁,驳,pɔːk˧
亳,亳,pɔːk˧
縛,缚,pɔːk˧/fɔːk˧
欂,欂,pɔːk˧/pɔːk˨
鉑,铂,pɔːk˨
泊,泊,pɔːk˨,湖泊，水泊，血泊，梁山泊，羅布泊,湖
箔,箔,pɔːk˨
礴,礴,pɔːk˨
雹,雹,pɔːk˨
薄,薄,pɔːk˨
舶,舶,pɔːk˨/pʰaːk˧
泊,泊,pɔːk˨/pʰaːk˧,停泊，漂泊，泊位，淡泊,停船靠岸
梆,梆,pɔːŋ˥
幫,帮,pɔːŋ˥
邦,邦,pɔːŋ˥
浜,浜,pɔːŋ˥
綁,绑,pɔːŋ˧˥
膀,膀,pɔːŋ˧˥,肩膀，臂膀，翅膀
榜,榜,pɔːŋ˧˥
蒡,蒡,pɔːŋ˧˥
傍,傍,pɔːŋ˨
鎊,镑,pɔːŋ˨
磅,磅,pɔːŋ˨,磅秤，過磅，磅體重，磅一磅,稱重量的儀器；用磅秤稱重量；（量詞）英美製重量單位
波,波,pɔː˥
玻,玻,pɔː˥
菠,菠,pɔː˥
般,般,pɔː˥,般若,（梵文音譯詞）
簸,簸,pɔː˧,簸箕,（名詞）
播,播,pɔː˧
簸,簸,pɔː˧/pɔː˧˥,顛簸,（動詞）
柄,柄,pɛːŋ˧/pɪŋ˧
餅,饼,pɛːŋ˧˥,"",（語音）
病,病,pɛːŋ˨/pɪŋ˨
啤,啤,pɛː˥
唄,呗,pɛː˨,去就去唄,（語氣助詞）表示讓步、勉強、顯而易見等
壁,壁,pɪk˥
碧,碧,pɪk˥
逼,逼,pɪk˥
愎,愎,pɪk˥
璧,璧,pɪk˥
襞,襞,pɪk˥
兵,兵,pɪŋ˥
冰,冰,pɪŋ˥
乒,乒,pɪŋ˥/pʰɪŋ˥
迸,迸,pɪŋ˧
併,并,pɪŋ˧/pʰɪŋ˧
丙,丙,pɪŋ˧˥
秉,秉,pɪŋ˧˥
炳,炳,pɪŋ˧˥
屏,屏,pɪŋ˧˥,屏氣，屏息，屏除，屏棄，屏住呼吸,壓制，抑止，停止，排除
餅,饼,pɪŋ˧˥,餅乾，餡餅
昺,昺,pɪŋ˧˥
邴,邴,pɪŋ˧˥
並,并,pɪŋ˨
卜,卜,pʊk˥
曝,曝,pʊk˨
僕,仆,pʊk˨
瀑,瀑,pʊk˨
濮,濮,pʊk˨
蹼,蹼,pʊk˨
甭,甭,pʊŋ˧
派,派,pʰaːi˧
哌,哌,pʰaːi˧
湃,湃,pʰaːi˧/paːi˧
排,排,pʰaːi˨˩
俳,俳,pʰaːi˨˩
牌,牌,pʰaːi˨˩
啪,啪,pʰaːk˥
珀,珀,pʰaːk˧
拍,拍,pʰaːk˧
柏,柏,pʰaːk˧,柏樹，柏林，松柏，側柏，柏拉圖，都柏林,一種常綠喬木；（地名、人名）譯音字
帕,帕,pʰaːk˧
魄,魄,pʰaːk˧
柏,柏,pʰaːk˧/paːk˧,柏油，柏油路,瀝青
扳,扳,pʰaːn˥
攀,攀,pʰaːn˥
盼,盼,pʰaːn˧
袢,袢,pʰaːn˧
脬,脬,pʰaːu˥
拋,抛,pʰaːu˥
泡,泡,pʰaːu˥,泡兒，起泡，泡影，泡幻，眼泡，豆泡，一泡尿，一泡屎，電燈泡,像泡一樣的東西，泡狀器物，鼓起而鬆軟的東西；（量詞）用於屎尿
炮,炮,pʰaːu˧,"","",砲，礮
豹,豹,pʰaːu˧
疱,疱,pʰaːu˧,"","",皰
泡,泡,pʰaːu˧,泡水，泡茶，泡菜，泡飯，泡麵，泡湯，泡澡，浸泡,用水沖或浸
趵,趵,pʰaːu˧
跑,跑,pʰaːu˧˥
咆,咆,pʰaːu˨˩
匏,匏,pʰaːu˨˩
庖,庖,pʰaːu˨˩
刨,刨,pʰaːu˨˩,"","",鉋，鑤
麅,狍,pʰaːu˨˩
烹,烹,pʰaːŋ˥
澎,澎,pʰaːŋ˥/pʰaːŋ˨˩,澎湃
彭,彭,pʰaːŋ˨˩
鵬,鹏,pʰaːŋ˨˩
硼,硼,pʰaːŋ˨˩
澎,澎,pʰaːŋ˨˩,澎湖,（地名）
棚,棚,pʰaːŋ˨˩
膨,膨,pʰaːŋ˨˩
嘭,嘭,pʰaːŋ˨˩
棒,棒,pʰaːŋ˩˧
趴,趴,pʰaː˥
怕,怕,pʰaː˧
耙,耙,pʰaː˨˩
扒,扒,pʰaː˨˩
爬,爬,pʰaː˨˩
杷,杷,pʰaː˨˩
琶,琶,pʰaː˨˩
呸,呸,pʰei˥
丕,丕,pʰei˥
披,披,pʰei˥
紕,纰,pʰei˥
狉,狉,pʰei˥
砒,砒,pʰei˥
狓,狓,pʰei˥
譬,譬,pʰei˧
屁,屁,pʰei˧
濞,濞,pʰei˧
嬖,嬖,pʰei˧
帔,帔,pʰei˧
媲,媲,pʰei˧/pei˧˥
痞,痞,pʰei˧˥
仳,仳,pʰei˧˥
否,否,pʰei˧˥,否極泰來,壞，惡，不好
鄙,鄙,pʰei˧˥
圮,圮,pʰei˧˥
吡,吡,pʰei˧˥,"",斥責，詆毀
貔,貔,pʰei˨˩
毗,毗,pʰei˨˩
疲,疲,pʰei˨˩
琵,琵,pʰei˨˩
脾,脾,pʰei˨˩
枇,枇,pʰei˨˩
皮,皮,pʰei˨˩
蜱,蜱,pʰei˨˩
郫,郫,pʰei˨˩
邳,邳,pʰei˨˩
裨,裨,pʰei˨˩,裨將，偏裨,輔佐的
被,被,pʰei˩˧,被子，被單，棉被，毛巾被,睡覺時覆蓋身體的東西
婢,婢,pʰei˩˧
扁,扁,pʰiːn˥,扁舟
編,编,pʰiːn˥
偏,偏,pʰiːn˥
翩,翩,pʰiːn˥
篇,篇,pʰiːn˥
蝙,蝙,pʰiːn˥/piːn˥
騙,骗,pʰiːn˧
遍,遍,pʰiːn˧
片,片,pʰiːn˧,片刻，片面，片段，名片，卡片，圖片，明信片，片瓦無存，片言隻字,扁而薄的物體；很少，很短；（量詞）
片,片,pʰiːn˧˥,片子，片约，相片，唱片，照片，影片,指片子
片,片,pʰiːn˧˥,紙片，卡片，名片，圖片，雪片，藥片，明信片,（口語）扁平而薄的物體
駢,骈,pʰiːn˨˩
便,便,pʰiːn˨˩,便宜
胼,胼,pʰiːn˨˩
撇,撇,pʰiːt˧
瞥,瞥,pʰiːt˧
縹,缥,pʰiːu˥
飄,飘,pʰiːu˥
漂,漂,pʰiːu˥,漂浮，漂移，漂泊，漂流,浮在液體上；隨風或液體流動
嘌,嘌,pʰiːu˥
漂,漂,pʰiːu˧,漂亮，漂白，漂洗，漂染,美，好看；用水沖洗，或用化學藥品使紡織品變白
票,票,pʰiːu˧
驃,骠,pʰiːu˧,驃國，驃人，驃信，驃騎，驃勇,古代國名，也指勇猛，或馬奔跑的樣子
剽,剽,pʰiːu˧/pʰiːu˩˧
嫖,嫖,pʰiːu˨˩
瓢,瓢,pʰiːu˨˩
朴,朴,pʰiːu˨˩
瞟,瞟,pʰiːu˩˧
鰾,鳔,pʰiːu˩˧
殍,殍,pʰiːu˩˧
鋪,铺,pʰou˥,鋪路，鋪開，鋪蓋，床鋪，搭鋪,（動詞）
舖,铺,pʰou˧,舖子，舖位，店舖,（名詞）,鋪
譜,谱,pʰou˧˥
溥,溥,pʰou˧˥
浦,浦,pʰou˧˥
普,普,pʰou˧˥
潽,潽,pʰou˧˥
脯,脯,pʰou˧˥/fuː˧˥,果脯，杏脯，桃脯，肉脯,果乾，肉乾
菩,菩,pʰou˨˩
蒲,蒲,pʰou˨˩
莆,莆,pʰou˨˩
葡,葡,pʰou˨˩
脯,脯,pʰou˨˩,胸脯，脯子,胸部
匍,匍,pʰou˨˩
袍,袍,pʰou˨˩
抱,抱,pʰou˩˧
泡,泡,pʰou˩˧,泡沫，泡子，氣泡，水泡，起泡，冒泡，發泡，肥皂泡,液體內有空氣的球狀物
胚,胚,pʰuːi˥
坯,坯,pʰuːi˥
霈,霈,pʰuːi˧
配,配,pʰuːi˧
沛,沛,pʰuːi˧
珮,珮,pʰuːi˧
佩,佩,pʰuːi˧
培,培,pʰuːi˨˩
賠,赔,pʰuːi˨˩
裴,裴,pʰuːi˨˩
徘,徘,pʰuːi˨˩
陪,陪,pʰuːi˨˩
倍,倍,pʰuːi˩˧
蓓,蓓,pʰuːi˩˧/pʰuːi˨˩
番,番,pʰuːn˥,番禺,（地名）
潘,潘,pʰuːn˥
拚,拚,pʰuːn˧
判,判,pʰuːn˧
泮,泮,pʰuːn˧
蟠,蟠,pʰuːn˨˩
盤,盘,pʰuːn˨˩
盆,盆,pʰuːn˨˩
槃,槃,pʰuːn˨˩
磐,磐,pʰuːn˨˩
蹣,蹒,pʰuːn˨˩/muːn˨˩
伴,伴,pʰuːn˩˧,"",（口語）
潑,泼,pʰuːt˧
批,批,pʰɐi˥
睥,睥,pʰɐi˩˧
噴,喷,pʰɐn˧
貧,贫,pʰɐn˨˩
顰,颦,pʰɐn˨˩
嬪,嫔,pʰɐn˨˩
頻,频,pʰɐn˨˩
瀕,濒,pʰɐn˨˩/pɐn˥
牝,牝,pʰɐn˩˧
疋,匹,pʰɐt˥
匹,匹,pʰɐt˥
抔,抔,pʰɐu˨˩
憑,凭,pʰɐŋ˨˩
朋,朋,pʰɐŋ˨˩
璞,璞,pʰɔːk˧
樸,朴,pʰɔːk˧
噗,噗,pʰɔːk˧
撲,扑,pʰɔːk˧
釙,钋,pʰɔːk˧
粕,粕,pʰɔːk˧/pʰaːk˧
謗,谤,pʰɔːŋ˧
膀,膀,pʰɔːŋ˨˩,膀胱
彷,彷,pʰɔːŋ˨˩,彷徨,徘徊不前，猶疑不決的樣子
龐,庞,pʰɔːŋ˨˩
螃,螃,pʰɔːŋ˨˩
滂,滂,pʰɔːŋ˨˩
旁,旁,pʰɔːŋ˨˩
磅,磅,pʰɔːŋ˨˩,磅礴,盛大，廣大，充滿，無邊際
蚌,蚌,pʰɔːŋ˩˧
頗,颇,pʰɔː˥,偏頗,偏，不正
棵,棵,pʰɔː˥/fɔː˧˥
坡,坡,pʰɔː˥/pɔː˥
破,破,pʰɔː˧
頗,颇,pʰɔː˧˥,頗久，頗大，頗多，頗少，頗感興趣，頗有誠意，頗不以為然,略微，稍，很，甚
笸,笸,pʰɔː˧˥
叵,叵,pʰɔː˧˥
婆,婆,pʰɔː˨˩
鄱,鄱,pʰɔː˨˩/pɔː˧
劈,劈,pʰɛːk˧
闢,辟,pʰɪk˥
辟,辟,pʰɪk˥
癖,癖,pʰɪk˥
僻,僻,pʰɪk˥
霹,霹,pʰɪk˥
鷿,䴙,pʰɪk˥
砰,砰,pʰɪŋ˥
姘,姘,pʰɪŋ˥
怦,怦,pʰɪŋ˥
娉,娉,pʰɪŋ˥
抨,抨,pʰɪŋ˥
聘,聘,pʰɪŋ˧
拼,拼,pʰɪŋ˧/pʰɪŋ˥
蘋,苹,pʰɪŋ˨˩
坪,坪,pʰɪŋ˨˩
屏,屏,pʰɪŋ˨˩,屏幕，屏風，屏障，屏蔽，屏條，雀屏，畫屏，孔雀開屏,（動詞）遮擋；（名詞）擋風或隔間的用具
平,平,pʰɪŋ˨˩
萍,萍,pʰɪŋ˨˩
瓶,瓶,pʰɪŋ˨˩
評,评,pʰɪŋ˨˩
仆,仆,pʰʊk˥,前仆後繼,（俗）跌倒；以面伏地
碰,碰,pʰʊŋ˧
捧,捧,pʰʊŋ˧˥/pʊŋ˧˥
篷,篷,pʰʊŋ˨˩
芃,芃,pʰʊŋ˨˩
蓬,蓬,pʰʊŋ˨˩/fʊŋ˨˩
曬,晒,saːi˧
璽,玺,saːi˧˥
徙,徙,saːi˧˥
屣,屣,saːi˧˥
仨,仨,saːm˥
三,三,saːm˥,三個，三角，再三，三番五次,（數字）
衫,衫,saːm˥
叄,叁,saːm˥
三,三,saːm˧,三思,屢次，多次，再三
珊,珊,saːn˥
栓,栓,saːn˥
山,山,saːn˥
閂,闩,saːn˥
拴,拴,saːn˥
舢,舢,saːn˥
潸,潸,saːn˥
刪,删,saːn˥
姍,姗,saːn˥
跚,跚,saːn˥
篡,篡,saːn˧
訕,讪,saːn˧
汕,汕,saːn˧
疝,疝,saːn˧
散,散,saːn˧,散步，散心，散會，散佈,分開，分離，分佈，分給，排遣，解僱
傘,伞,saːn˧
涮,涮,saːn˧
赸,赸,saːn˧
散,散,saːn˧˥,散文，散漫，散髮,鬆開，不約束，不守紀律，零碎的，不集中的
饊,馓,saːn˧˥
孱,孱,saːn˨˩
潺,潺,saːn˨˩
圾,圾,saːp˧
颯,飒,saːp˧
歃,歃,saːp˧
薩,萨,saːt˧
鎩,铩,saːt˧
煞,煞,saːt˧
殺,杀,saːt˧
撒,撒,saːt˧
剎,刹,saːt˧,剎車，剎住,止住
剎,刹,saːt˧/tsʰaːt˧,剎那，古剎，剎那間,佛寺
梢,梢,saːu˥
捎,捎,saːu˥
筲,筲,saːu˥
哨,哨,saːu˧
潲,潲,saːu˧
稍,稍,saːu˧˥
牲,牲,saːŋ˥
甥,甥,saːŋ˥
省,省,saːŋ˧˥,省份，節省
莎,莎,saː˥,莎車，莎翁，溫莎,（地名，人名）
啥,啥,saː˥
痧,痧,saː˥
沙,沙,saː˥
砂,砂,saː˥
卅,卅,saː˥
裟,裟,saː˥
鯊,鲨,saː˥
紗,纱,saː˥
耍,耍,saː˧˥
灑,洒,saː˧˥
四,四,sei˧
死,死,sei˧˥
苫,苫,siːm˥,苫布，草苫子,（名詞）以草編成的覆蓋物
苫,苫,siːm˧,苫布，苫上,（動詞）用草編成的席、布等覆蓋
閃,闪,siːm˧˥
陝,陕,siːm˧˥
贍,赡,siːm˨
禪,禅,siːm˨˩,禪宗，坐禪,指與佛教有關的事物
蟾,蟾,siːm˨˩
單,单,siːm˨˩,單于,匈奴君主的稱號
嬋,婵,siːm˨˩/siːn˨˩
鮮,鲜,siːn˥,鮮花，鮮美，鮮明，鮮豔，鮮嫩，新鮮，海鮮，嚐鮮，屢見不鮮,美味，甜美，清新
先,先,siːn˥
仙,仙,siːn˥
酰,酰,siːn˥
秈,籼,siːn˥
氙,氙,siːn˥/saːn˥
騸,骟,siːn˧
腺,腺,siːn˧
扇,扇,siːn˧
煽,煽,siːn˧
霰,霰,siːn˧
線,线,siːn˧,"","",綫
鮮,鲜,siːn˧˥,鮮有，鮮見，鮮少，鮮為人知，寡廉鮮恥,少，寡，不多
跣,跣,siːn˧˥
冼,冼,siːn˧˥
癬,癣,siːn˧˥
嬗,嬗,siːn˨
擅,擅,siːn˨
膳,膳,siːn˨
倩,倩,siːn˨
善,善,siːn˨
羨,羡,siːn˨
繕,缮,siːn˨
鄯,鄯,siːn˨
單,单,siːn˨,單縣,（姓，地名）
禪,禅,siːn˨,禪讓,帝王把帝位讓給別人
撣,掸,siːn˨,撣族，撣邦,傣族的舊稱；緬甸民族之一
茜,茜,siːn˨,茜草，茜紗,紅色
蟬,蝉,siːn˨˩
澶,澶,siːn˨˩
鱔,鳝,siːn˩˧
攝,摄,siːp˧
涉,涉,siːp˧
歙,歙,siːp˧,歙縣,（地名）
懾,慑,siːp˧/tsiːp˧
屑,屑,siːt˧
洩,泄,siːt˧
竊,窃,siːt˧
褻,亵,siːt˧
薛,薛,siːt˧
楔,楔,siːt˧
絏,绁,siːt˧,"","",紲
媟,媟,siːt˧
揳,揳,siːt˧/siːp˧
舌,舌,siːt˨/siːt˧
魈,魈,siːu˥
宵,宵,siːu˥
消,消,siːu˥
霄,霄,siːu˥
瀟,潇,siːu˥
韶,韶,siːu˥
銷,销,siːu˥
燒,烧,siːu˥
蕭,萧,siːu˥
硝,硝,siːu˥
逍,逍,siːu˥
簫,箫,siːu˥
少,少,siːu˧,少年，少爺，少男，少女，惡少，老少,年輕，青年
嘯,啸,siːu˧
笑,笑,siːu˧
小,小,siːu˧˥
少,少,siːu˧˥,少數，多少,不多
筱,筱,siːu˧˥
邵,邵,siːu˨
紹,绍,siːu˨
兆,兆,siːu˨
肇,肇,siːu˨
劭,劭,siːu˨
召,召,siːu˨,"",（姓）
施,施,siː˥
私,私,siː˥
絲,丝,siː˥
師,师,siː˥
獅,狮,siː˥
詩,诗,siː˥
尸,尸,siː˥
撕,撕,siː˥
蓍,蓍,siː˥
斯,斯,siː˥
司,司,siː˥
思,思,siː˥,思想，思考，思念，思索，思路，思緒，深思，反思，心思，構思，單相思，三思而行，百思不解，深思熟慮，胡思亂想，飲水思源，不假思索，不可思議,想，懷念，想念；想法，意念
屍,尸,siː˥
廝,厮,siː˥
鍶,锶,siː˥
偲,偲,siː˥
鷥,鸶,siː˥
諡,谥,siː˧,"","",謚
肆,肆,siː˧
弒,弑,siː˧
試,试,siː˧
駟,驷,siː˧
嗜,嗜,siː˧
使,使,siː˧,使節，使命，使者，使徒，大使，特使，天使,奉命辦理事物；派駐國外進行外交事務的人員
泗,泗,siː˧
思,思,siː˧/siː˥,意思，好意思，小意思，有意思，不好意思,意義，含義，意見，心意，用意，趨勢，趣味
史,史,siː˧˥
屎,屎,siː˧˥
使,使,siː˧˥,使用，使喚，支使，驅使，假使，即使，迫使，促使,用，差遣，令
事,事,siː˨
仕,仕,siː˨
士,士,siː˨
侍,侍,siː˨
是,是,siː˨
伺,伺,siː˨,伺候,守候，服侍，照料
視,视,siː˨
氏,氏,siː˨,姓氏，無名氏
豉,豉,siː˨
示,示,siː˨
蒔,莳,siː˨˩
時,时,siː˨˩
鰣,鲥,siː˨˩
匙,匙,siː˨˩,鑰匙，鎖匙,開鎖的器具
市,市,siː˩˧
臊,臊,sou˥,臊臭，腥臊，狐臊，鳥臊，尿臊氣
穌,稣,sou˥
鬚,须,sou˥
酥,酥,sou˥
甦,甦,sou˥
搔,搔,sou˥
蘇,苏,sou˥
騷,骚,sou˥
囌,苏,sou˥
塑,塑,sou˧
數,数,sou˧,數字，數學，數年，數天，數種，人數，歲數，多數，次數，整數，分數，單數，複數，自然數，數以萬計，心中有數,（名詞）
溯,溯,sou˧
訴,诉,sou˧
愫,愫,sou˧
臊,臊,sou˧,羞臊，害臊
掃,扫,sou˧
素,素,sou˧
數,数,sou˧˥,數數，數說，倒數，數數目，數到十，數典忘祖，數一數二，不可勝數,（動詞）計算，查點
嫂,嫂,sou˧˥
孫,孙,syːn˥
猻,狲,syːn˥
宣,宣,syːn˥
酸,酸,syːn˥
狻,狻,syːn˥
瑄,瑄,syːn˥
飧,飧,syːn˥
悛,悛,syːn˥
蓀,荪,syːn˥
蒜,蒜,syːn˧
算,算,syːn˧
渲,渲,syːn˧/hyːn˥
選,选,syːn˧˥
損,损,syːn˧˥
篆,篆,syːn˨
璇,璇,syːn˨˩
船,船,syːn˨˩
漩,漩,syːn˨˩
旋,旋,syːn˨˩
璿,璿,syːn˨˩
䴉,鹮,syːn˨˩
吮,吮,syːn˩˧
雋,隽,syːn˩˧,雋語，雋永,言論、文章等意味深長
雪,雪,syːt˧
鱈,鳕,syːt˧
說,说,syːt˧,說話，說笑，說法，說明，小說，學說，傳說,講話，解釋
紓,纾,syː˥
舒,舒,syː˥
書,书,syː˥
樞,枢,syː˥
輸,输,syː˥
抒,抒,syː˥
樗,樗,syː˥
恕,恕,syː˧
戍,戍,syː˧
庶,庶,syː˧
處,处,syː˧,處所，處長，好處，遠處，到處,（口語，名詞）地方
黍,黍,syː˧˥
暑,暑,syː˧˥
鼠,鼠,syː˧˥
豎,竖,syː˨
樹,树,syː˨
澍,澍,syː˨
殊,殊,syː˨˩
薯,薯,syː˨˩
削,削,sœːk˧
爍,烁,sœːk˧
鑠,铄,sœːk˧
霜,霜,sœːŋ˥
雙,双,sœːŋ˥
廂,厢,sœːŋ˥
商,商,sœːŋ˥
傷,伤,sœːŋ˥
孀,孀,sœːŋ˥
觴,觞,sœːŋ˥
湘,湘,sœːŋ˥
箱,箱,sœːŋ˥
鸘,鹴,sœːŋ˥
殤,殇,sœːŋ˥
鑲,镶,sœːŋ˥
相,相,sœːŋ˥,相信，相稱，相較，相像，相異，互相，相得益彰，相親相愛，兩地相思，出門相迎，守望相助，實不相瞞，旗鼓相當，有事相煩,彼此，交互，兩方面
