隘	隘	aai³			
猹	猹	ja¹			
抓	抓	ja¹/jaau²			
嵖	嵖	ja⁶			
膪	膪	ja⁶			
隻	只	jek³			
跖	跖	jek³			
井	井	jeng²/jing²			
鄭	郑	jeng⁶/jing⁶			
鵲	鹊	jeuk³			
著	着	jeuk³	著衣，穿著，衣著，著西服，衣著打扮	穿衣服	
嚼	嚼	jeuk³	嚼舌，嚼食，嚼子，咀嚼，嚼不爛，細嚼慢嚥，咬文嚼字，味同嚼蠟，過屠門而大嚼	用牙齒咬碎食物	
酌	酌	jeuk³			
灼	灼	jeuk³			
雀	雀	jeuk³			
爵	爵	jeuk³			
斫	斫	jeuk³	斫伐，斫鼻，斫樹，斫營，斫木	砍，斬；用刀斧砍削或劈樹	斲
妁	妁	jeuk³			
焯	焯	jeuk³/cheuk³	焯燦，焯見	顯明，光明，明顯，明白	
芍	芍	jeuk³/cheuk³			
勺	勺	jeuk³/cheuk³/seuk³			杓
著	着	jeuk⁶	著涼，著急，著火，著迷，著慌，著忙，著魔，著熱，著雨，著陸，著重，著手，著色，著實，著想，著筆，著力，著墨，著意，著落，著人，睡著，猜著，打著，沉著，執著，無著，膠著，聽著，跑著，拿著，笑著，附著物，黏著力，見不著，見不著，犯不著，合不著，數得著，著手成春，歪打正著，不著邊際，不著痕跡，著三不著兩	接觸，感受；下棋走一步；手段，辦法（助詞）表示動作正在進行；表示有了結果或達到目的	
著	著	jeuk⁶	土著	世居本地的人	
掌	掌	jeung²			
長	长	jeung²	長大，廠長	（動詞、名詞）	
獎	奖	jeung²			
槳	桨	jeung²			
蔣	蒋	jeung²			
漲	涨	jeung²/jeung³	漲價，漲落，漲潮，漲價，漲幅，漲錢，高漲，上漲，暴漲，看漲，漲停，水漲船高	水上升，水量增加，水面提高；增長，增高，上升，提高	
將	将	jeung³	將官，將領，將帥，將校，將士，將兵，上將，中將，少將	（軍銜名）高級軍官；（書）帶領，統領	
賬	账	jeung³			
醬	酱	jeung³			
瘴	瘴	jeung³			
障	障	jeung³			
仗	仗	jeung³	打仗，敗仗，勝仗	（名詞）戰爭，戰鬥	
帳	帐	jeung³			
漲	涨	jeung³	漲紅，漲大，漲紅了臉，煙塵漲天	擴大，擴張，變大，充滿	
脹	胀	jeung³			
幛	幛	jeung³			
嶂	嶂	jeung³			
漳	漳	jeung¹			
張	张	jeung¹			
漿	浆	jeung¹			
章	章	jeung¹			
將	将	jeung¹	將軍，將來，將要，將就，將近，即將，將信將疑	（介詞、副詞、連詞）快要；把；又，且；拿，用；調養；（象棋）攻擊對方的將或帥	
蟑	蟑	jeung¹			
璋	璋	jeung¹			
樟	樟	jeung¹			
彰	彰	jeung¹			
獐	獐	jeung¹			麞
嫜	嫜	jeung¹			
鄣	鄣	jeung¹			
象	象	jeung⁶			
丈	丈	jeung⁶			
仗	仗	jeung⁶	仗劍，倚仗，仗勢欺人，仗義執言	（動詞）憑藉，依靠	
像	像	jeung⁶			
橡	橡	jeung⁶			
匠	匠	jeung⁶			
杖	杖	jeung⁶			
者	者	je²			
姐	姐	je²			
蔗	蔗	je³			
借	借	je³	借錢，借書	暫時用別人的財物	
柘	柘	je³			
鷓	鹧	je³			
藉	借	je³/jik⁶	藉口，藉故，藉機，藉助，藉詞，藉著，藉以，藉端，憑藉，藉著權勢	假託，假借，依賴，依靠	
遮	遮	je¹			
嗟	嗟	je¹			
這	这	je⁵/je³			
謝	谢	je⁶			
榭	榭	je⁶			
瘠	瘠	jik³			
蹠	蹠	jik³			
炙	炙	jik³/jek³			
脊	脊	jik³/jek³			
職	职	jik¹			
稷	稷	jik¹			
鯽	鲫	jik¹			
即	即	jik¹			
積	积	jik¹			
織	织	jik¹			
跡	迹	jik¹			蹟
績	绩	jik¹			
陟	陟	jik¹			
磧	碛	jik¹/chik¹			
漬	渍	jik¹/ji³			
直	直	jik⁶			
藉	藉	jik⁶	狼藉，草藉，枕藉，慰藉，蘊藉，杯盤狼藉	墊，襯；墊在下面的東西；凌亂，雜亂的樣子；（書）踐踏，凌辱，侮辱	
值	值	jik⁶			
席	席	jik⁶			
植	植	jik⁶			
殖	殖	jik⁶			
籍	籍	jik⁶			
寂	寂	jik⁶			
矽	矽	jik⁶			
汐	汐	jik⁶			
夕	夕	jik⁶			
埴	埴	jik⁶			
褯	褯	jik⁶			
蓆	蓆	jik⁶/jek⁶			
借	借	jik⁶/je³	借口	假托，利用	
佔	占	jim³			
瞻	瞻	jim¹			
占	占	jim¹			
詹	詹	jim¹			
譫	谵	jim¹			
尖	尖	jim¹			
沾	沾	jim¹			
霑	沾	jim¹	霑水，黃霑	（多用於人名）浸濕	
漸	渐	jim⁶			
整	整	jing²			
症	症	jing³			
證	证	jing³			証
正	正	jing³	正式，正常，正當，正經，正面，正義，正門，正好，正派，修正，改正，糾正，端正，公正，純正，方正	不偏斜的，不歪斜的，符合規範的，符合標準方向的	
政	政	jing³			
幀	帧	jing³			
征	征	jing¹			
怔	怔	jing¹			
徵	征	jing¹			
正	正	jing¹	正月，新正	農曆每年的第一月	
旌	旌	jing¹			
晶	晶	jing¹			
精	精	jing¹			
禎	祯	jing¹			
鉦	钲	jing¹			
貞	贞	jing¹			
菁	菁	jing¹			
偵	侦	jing¹			
蒸	蒸	jing¹			
睛	睛	jing¹			
烝	烝	jing¹			
癥	症	jing¹			
箐	箐	jing¹			
楨	桢	jing¹			
靖	靖	jing⁶			
靜	静	jing⁶			
淨	净	jing⁶			
靚	靓	jing⁶	靚衣，靚妝	妝飾或打扮艷麗、美好	
婧	婧	jing⁶			
阱	阱	jing⁶/jeng⁶			
展	展	jin²			
輾	辗	jin²			
碾	碾	jin²	碾米，碾碎	（俗）	
剪	剪	jin²			
翦	翦	jin²			
搌	搌	jin²			
戩	戬	jin²			
闡	阐	jin²/chin²			
箭	箭	jin³			
顫	颤	jin³			
濺	溅	jin³			
戰	战	jin³			
餞	饯	jin³			
薦	荐	jin³			
煎	煎	jin¹			
箋	笺	jin¹			
羶	膻	jin¹			羴
氈	毡	jin¹			氊
栴	栴	jin¹			
鸇	鹯	jin¹			
旃	旃	jin¹			
賤	贱	jin⁶			
楫	楫	jip³			
摺	折	jip³			
褶	褶	jip³			
囁	嗫	jip³			
輒	辄	jip³			
浹	浃	jip³			
接	接	jip³			
霅	霅	jip³			
浙	浙	jit³			
節	节	jit³			
蜇	蜇	jit³			
癤	疖	jit³			
櫛	栉	jit³			
哲	哲	jit³			喆
婕	婕	jit³			
折	折	jit³			
唧	唧	jit¹			
截	截	jit⁶			
睫	睫	jit⁶			
捷	捷	jit⁶			
沼	沼	jiu²			
剿	剿	jiu²			
照	照	jiu³			
詔	诏	jiu³			
醮	醮	jiu³			
椒	椒	jiu¹			
朝	朝	jiu¹	朝夕，朝氣，今朝，朝思暮想	早晨	
焦	焦	jiu¹			
礁	礁	jiu¹			
蕉	蕉	jiu¹			
招	招	jiu¹			
召	召	jiu⁶	召喚，號召	呼喚，招致	
趙	赵	jiu⁶			
嚼	嚼	jiu⁶	倒嚼，反嚼，回嚼	反芻	
子	子	ji²			
止	止	ji²			
只	只	ji²			祗
指	指	ji²			
紙	纸	ji²			
旨	旨	ji²			
紫	紫	ji²			
址	址	ji²			
籽	籽	ji²			
滓	滓	ji²			
梓	梓	ji²			
咫	咫	ji²			
姊	姊	ji²			
仔	仔	ji²	仔細，仔密	小心，細心	
祉	祉	ji²			
酯	酯	ji²			
趾	趾	ji²			
芷	芷	ji²			
秭	秭	ji²			
黹	黹	ji²			
致	致	ji³			
輊	轾	ji³			
至	至	ji³			
緻	致	ji³			
質	质	ji³	質押，質當，人質	用人或財物作抵押品	
誌	志	ji³			
志	志	ji³			
置	置	ji³			
摯	挚	ji³			
智	智	ji³			
痣	痣	ji³			
躓	踬	ji³			
贄	贽	ji³			
識	识	ji³	標識，款識，博聞強識	標記，記號	
恣	恣	ji³/chi³			
蜘	蜘	ji¹			
脂	脂	ji¹			
支	支	ji¹			
枝	枝	ji¹			
姿	姿	ji¹			
咨	咨	ji¹			
滋	滋	ji¹			
孜	孜	ji¹			
茲	兹	ji¹	今茲，來茲，茲啟者，茲事體大，念茲在茲	此，這個，現在，此時，此地	
吱	吱	ji¹	吱聲，咯吱，嘎吱，吱吱叫，吱吱響，不吱聲，吱嘍嘍，吱的一聲	（象聲詞）尖細的聲音，小動物的叫聲；發出聲音	
輜	辎	ji¹			
肢	肢	ji¹			
芝	芝	ji¹			
齜	龇	ji¹			
諮	谘	ji¹			
之	之	ji¹			
知	知	ji¹			
貲	赀	ji¹			
資	资	ji¹			
鼒	鼒	ji¹		上端口斂而口小的鼎	
淄	淄	ji¹			
氏	氏	ji¹	閼氏，月氏		
祗	祗	ji¹	祗仰，祗候，祗待，祗候光臨，祗請尊安	恭敬	
鯔	鲻	ji¹			
梔	栀	ji¹			
孳	孳	ji¹			
仔	仔	ji¹	仔肩	責任，負擔	
卮	卮	ji¹			
粢	粢	ji¹			
呲	呲	ji¹			
胝	胝	ji¹/dai¹			
祀	祀	ji⁶			
巳	巳	ji⁶			
雉	雉	ji⁶			
字	字	ji⁶			
痔	痔	ji⁶			
俟	俟	ji⁶	俟機，俟候	等待，等候	
治	治	ji⁶			
自	自	ji⁶			
稚	稚	ji⁶			
飼	饲	ji⁶			
嗣	嗣	ji⁶			
耜	耜	ji⁶			
伺	伺	ji⁶	伺機，伺便，伺探，窺伺	觀察，探察，偵候	
彘	彘	ji⁶			
兕	兕	ji⁶			
峙	峙	ji⁶/chi⁵			
豸	豸	ji⁶/jaai⁶			
寺	寺	ji⁶/ji²			
左	左	joh²			
阻	阻	joh²			
俎	俎	joh²			
佐	佐	joh³			
詛	诅	joh³/joh²			
坐	坐	joh⁶			
座	座	joh⁶			
助	助	joh⁶			
唑	唑	joh⁶			
載	载	joi²	千載難逢，三年五載，一年半載	年	
宰	宰	joi²			
崽	崽	joi²			
再	再	joi³			
載	载	joi³	載貨，載客，承載，運載，搭載，下載，登載，過載，記載，刊載，轉載，連載，記載，刊載，轉載，連載，載歌載舞，滿載而歸，怨聲載道	裝運，用交通工具裝東西	
栽	栽	joi¹			
哉	哉	joi¹			
災	灾	joi¹			
在	在	joi⁶			
作	作	jok³			
昨	昨	jok³/jok⁶			
鑿	凿	jok⁶			
擢	擢	jok⁶			
酢	酢	jok⁶		客人向主人敬酒	
濯	濯	jok⁶			
柞	柞	jok⁶	柞樹，柞櫟，柞蠶	一種落葉喬木	
駔	驵	jong²	駔儈	買賣馬的經紀人	
壯	壮	jong³			
葬	葬	jong³			
戇	戆	jong³/ngong⁶			
樁	桩	jong¹			
妝	妆	jong¹			
莊	庄	jong¹			
裝	装	jong¹			
髒	脏	jong¹			
贓	赃	jong¹			
奘	奘	jong⁶			
藏	藏	jong⁶	藏人，西藏，寶藏	指西藏	
狀	状	jong⁶			
撞	撞	jong⁶			
臟	脏	jong⁶			
僮	僮	jong⁶	僮族	（中國少數民族）指壯族	
組	组	jo²			
藻	藻	jo²			
蚤	蚤	jo²			
早	早	jo²			
棗	枣	jo²			
祖	祖	jo²			
駔	驵	jo²		駿馬，壯馬	
澡	澡	jo²/cho³			
灶	灶	jo³			竈
遭	遭	jo¹			
租	租	jo¹			
糟	糟	jo¹			蹧
做	做	jo⁶			
造	造	jo⁶	造型，造句，造紙，造船，造化，造反，造謠，製造，創造，構造，人造，改造，塑造，編造，捏造	生產，製作	
皂	皂	jo⁶			
祚	祚	jo⁶			
慥	慥	jo⁶/cho³			
轉	转	juen²		（及物動詞）	
纂	纂	juen²			
傳	传	juen²	傳記，自傳，外傳，別傳，列傳，經傳，紀傳體，不見經傳	（口語）記載某人一生事跡的文字	
撙	撙	juen²			
轉	转	juen³		（不及物動詞）	
鑽	钻	juen³	鑽石，電鑽，鑽戒	（名詞）穿孔的工具；鑽石	
鑽	钻	juen³/juen¹	鑽井，鑽孔，鑽研	（動詞）穿孔；深入研究	
磚	砖	juen¹			
顓	颛	juen¹			
尊	尊	juen¹			
專	专	juen¹			
鱒	鳟	juen¹/juen³			
鐫	镌	juen¹/jun³			
傳	传	juen⁶	傳記，自傳，外傳，別傳，列傳，經傳，紀傳體，不見經傳	記載某人一生事跡的文字	
輟	辍	juet³			
拙	拙	juet³			
啜	啜	juet³			
茁	茁	juet³			
咄	咄	juet³	咄咄逼人	（俗）斥責，呵叱	
掇	掇	juet³			
絕	绝	juet⁶			
主	主	jue²			
煮	煮	jue²			
拄	拄	jue²			
渚	渚	jue²			
駐	驻	jue³			
蛀	蛀	jue³			
著	著	jue³	土著	（俗）世居本地的人	
註	注	jue³			
著	著	jue³	著作，著名，著書，著者，著稱，著述，名著，原著，譯著，巨著，新著，大著，遺著，論著，編著，撰著，專著，顯著，卓著，昭著，著作權，著書立說，彰明較著，臭名昭著，見微知著	顯出，明顯；寫作；文章，書，小說等	
注	注	jue³			
炷	炷	jue³			
鑄	铸	jue³			
侏	侏	jue¹			
諸	诸	jue¹			
朱	朱	jue¹			
銖	铢	jue¹			
誅	诛	jue¹			
茱	茱	jue¹			
珠	珠	jue¹			
豬	猪	jue¹			
蛛	蛛	jue¹			
株	株	jue¹			
洙	洙	jue¹/sue⁴			
住	住	jue⁶			
箸	箸	jue⁶			
咀	咀	jui²			
齟	龃	jui²			
沮	沮	jui²			
嘴	嘴	jui²			
醉	醉	jui³			
惴	惴	jui³			
贅	赘	jui³			
最	最	jui³			
綴	缀	jui³/jui⁶			
狙	狙	jui¹			
椎	椎	jui¹			
錐	锥	jui¹			
追	追	jui¹			
疽	疽	jui¹			
蛆	蛆	jui¹/chui¹			
罪	罪	jui⁶			
序	序	jui⁶			
嶼	屿	jui⁶	島嶼	小島	
墜	坠	jui⁶			
敘	叙	jui⁶			
聚	聚	jui⁶			
漵	溆	jui⁶			
足	足	juk¹			
竹	竹	juk¹			
祝	祝	juk¹			
粥	粥	juk¹			
捉	捉	juk¹			
矚	瞩	juk¹			
燭	烛	juk¹			
囑	嘱	juk¹			
竺	竺	juk¹			
築	筑	juk¹			
觸	触	juk¹/chuk¹			
瘃	瘃	juk¹/juk⁶			
鐲	镯	juk⁶			
族	族	juk⁶			
逐	逐	juk⁶			
濁	浊	juk⁶			
軸	轴	juk⁶			
續	续	juk⁶			
妯	妯	juk⁶			
俗	俗	juk⁶			
躅	躅	juk⁶			
鏃	镞	juk⁶	箭鏃	箭頭	
舳	舳	juk⁶			
種	种	jung²	種子，種類，品種，物種，各種，絕種	（名詞）種子，類別	
腫	肿	jung²			
總	总	jung²			
踵	踵	jung²/dung²			
縱	纵	jung³	縱情，縱容，縱火，縱然，放縱，縱身一跳，縱虎歸山，欲擒故縱	釋放，放肆；即使	
中	中	jung³	中的，中獎，中彩，中選，中意，中肯，中計，中風，中毒，中暑，中槍，中彈，中傷，中伏，中箭，中標，中邪，打中，擊中，考中，猜中，看中，說中，命中，射中，中詭計，中規中矩，一語中的，正中下懷，百發百中，言必有中	射中目標，遭受	
種	种	jung³	種植，種田，種樹，種花，種菜，接種，種牛痘，種麥子，種棉花	（動詞）種植；接種疫苗	
眾	众	jung³			衆
粽	粽	jung³/jung²			糉
中	中	jung¹	中間，中心，中途，中等，中級，中央，中樞，中文，中醫，中外，中原，中學，中庸，中部，中立，中介，中秋，中斷，中止，中用，中看，中聽，心中，山中，空中，其中，當中，適中，集中，意中人，眼中釘，肉中刺，心目中，進行中，調查中，急中生智，雪中送炭	與四周圍距離相等，裡面，之間；適於，合於	
終	终	jung¹			
縱	纵	jung¹	縱線，縱橫，縱隊，縱貫，縱剖面	直	
盅	盅	jung¹			
宗	宗	jung¹			
棕	棕	jung¹			
鍾	钟	jung¹			
忠	忠	jung¹			
鬃	鬃	jung¹			
螽	螽	jung¹			
蹤	踪	jung¹			
鐘	钟	jung¹			
樅	枞	jung¹	樅陽	（地名）	
舂	舂	jung¹			
忪	忪	jung¹	怔忪，心忪	心跳，驚懼	
綜	综	jung¹/jung³			
重	重	jung⁶	重要，重大，重任，重視，重點，重心，重用，重責，重鎮，嚴重，慎重，鄭重，莊重，尊重，敬重，器重，看重，側重，穩重，保重，自重，珍重，重於泰山，重男輕女，任重道遠，語重心長，德高望重	要緊的，意義大的；尊敬；不輕率	
訟	讼	jung⁶			
誦	诵	jung⁶			
頌	颂	jung⁶			
仲	仲	jung⁶			
從	从	jung⁶/chung⁴	從犯，從吏，隨從，侍從，僕從，主從，從兄，從叔，主從關係	跟隨的人，僕役；附和的，附加的；親族同祖的	
準	准	jun²			
儘	尽	jun²			
准	准	jun²			
隼	隼	jun²			
藎	荩	jun²			
進	进	jun³			
俊	俊	jun³			
晉	晋	jun³			
駿	骏	jun³			
竣	竣	jun³			
縉	缙	jun³			搢
峻	峻	jun³			
浚	浚	jun³	浚河，浚渠，浚井，疏浚	疏通，挖深	濬
畯	畯	jun³			
焌	焌	jun³		用火來燒東西	
雋	隽	jun³	雋才	傑出，出眾，英俊，才能過人	
臻	臻	jun¹			
諄	谆	jun¹			
津	津	jun¹			
榛	榛	jun¹			
樽	樽	jun¹			
蓁	蓁	jun¹			
肫	肫	jun¹			
遵	遵	jun¹/juen¹			
盡	尽	jun⁶			
燼	烬	jun⁶			
黜	黜	jut¹			
怵	怵	jut¹			
卒	卒	jut¹			
楷	楷	kaai²			
蒈	蒈	kaai²			
鍇	锴	kaai²/gaai¹			
揢	揢	kaak³			
咯	咯	kaak³	咯血，咯痰	嘔，吐	
卡	卡	kaat¹	卡片，刷卡，磁卡，信用卡，借書卡，資料卡	卡片的簡稱	
銬	铐	kaau³			
靠	靠	kaau³			
啟	启	kai²			啓
稽	稽	kai²	稽首	（古）一種類似磕頭的跪拜禮	
契	契	kai³			
稽	稽	kai¹	稽查，稽留，稽延，稽核，滑稽，無稽之談，反脣相稽	停留，延遲，考核，計較	
溪	溪	kai¹			
蹊	蹊	kai¹	蹊蹺，蹺蹊	奇怪，可疑	
嵇	嵇	kai¹/hai⁴			
襟	襟	kam¹			
衾	衾	kam¹			
噙	噙	kam⁴			
禽	禽	kam⁴			
擒	擒	kam⁴			
琴	琴	kam⁴			琹
妗	妗	kam⁵			
勤	勤	kan⁴			
芹	芹	kan⁴			
近	近	kan⁵		（口語）	
岌	岌	kap¹			
給	给	kap¹			
吸	吸	kap¹			
汲	汲	kap¹			
笈	笈	kap¹			
級	级	kap¹			
歙	歙	kap¹		收斂，吸氣	
及	及	kap⁶			
芨	芨	kap⁶/gap¹			
咳	咳	kat¹	咳嗽，乾咳		
叩	叩	kau³			
扣	扣	kau³			
寇	寇	kau³			
釦	扣	kau³			
蔻	蔻	kau³			
構	构	kau³/gau³			
媾	媾	kau³/gau³			
購	购	kau³/gau³			
佝	佝	kau³/kui¹			
摳	抠	kau¹			
溝	沟	kau¹/gau¹			
裘	裘	kau⁴			
毬	毬	kau⁴			
球	球	kau⁴			
求	求	kau⁴			
仇	仇	kau⁴		（姓）	
虯	虬	kau⁴			
犰	犰	kau⁴			
逑	逑	kau⁴			
璆	璆	kau⁴			
俅	俅	kau⁴			
銶	𨱇	kau⁴			
舅	舅	kau⁵			
臼	臼	kau⁵			
卡	卡	ka²/ka¹	卡住，卡緊，卡子，關卡，髮卡，稅卡	夾在中間不能活動；夾子	
髂	髂	ka³			
喀	喀	ka¹			
卡	卡	ka¹	卡車，卡通，卡規，卡尺，大卡，卡路里，卡賓槍	（音譯用字）	
拤	拤	ka¹			
暨	暨	kei³			
冀	冀	kei³			
驥	骥	kei³			
騎	骑	kei³	騎士，騎兵，騎哨，輕騎，鐵騎，坐騎，車騎，騎從，騎手，單騎，邊騎，探騎，突騎，胡騎，驍騎，梟騎，驃騎，精騎，騎置，驛騎，一騎，千騎	指馬兵，騎兵，或騎馬的人	
崎	崎	kei¹			
耆	耆	kei⁴			
鰭	鳍	kei⁴			
俟	俟	kei⁴	万俟	（姓）	
旗	旗	kei⁴			
奇	奇	kei⁴	奇怪，奇蹟，奇兵，稀奇，驚奇，不足為奇	特別，怪異，罕見，特殊，不尋常	
岐	岐	kei⁴			
棋	棋	kei⁴			
琪	琪	kei⁴			
旂	旂	kei⁴			
琦	琦	kei⁴			
歧	歧	kei⁴			
淇	淇	kei⁴			
祈	祈	kei⁴			
其	其	kei⁴			
萁	萁	kei⁴			
麒	麒	kei⁴			
期	期	kei⁴	期間，期限，期待，期望，期刊，期末，期滿，時期，到期，長期，假期，定期，星期，如期，過期，學期，週期，初期，不期而遇，遙遙無期	限定的時間	
祺	祺	kei⁴			
祁	祁	kei⁴			
蘄	蕲	kei⁴			
祇	祇	kei⁴	神祇	（古）地神	祗
錡	锜	kei⁴			
圻	圻	kei⁴		邊界，地界；方圓千里之地	
䓫	䓫	kei⁴			
企	企	kei⁵			
屐	屐	kek⁶			
劇	剧	kek⁶			
卻	却	keuk³			
噱	噱	keuk⁶			
強	强	keung⁴	強壯，強大，堅強	有力	
強	强	keung⁵	強迫，強求，勉強，牽強，強詞奪理，強人所難，牽強附會	硬要，迫使，勉強	
羥	羟	keung⁵			
襁	襁	keung⁵			
茄	茄	ke²	茄子，番茄	一種蔬菜	
騎	骑	ke⁴	騎馬，騎車，騎牆	指騎馬，也泛指兩腿跨在東西上	
瘸	瘸	ke⁴			
伽	伽	ke⁴	伽藍，伽陀，僧伽，伽南香	（梵文音譯用字）	
黔	黔	kim⁴			
鉗	钳	kim⁴			
頃	顷	king²			
傾	倾	king¹			
瓊	琼	king⁴			
擎	擎	king⁴			
鯨	鲸	king⁴			
黥	黥	king⁴			
勍	勍	king⁴			
虔	虔	kin⁴			
掮	掮	kin⁴			
乾	乾	kin⁴	乾坤，乾宅	八卦之一	
犍	犍	kin⁴	犍為縣	（地名）	
黠	黠	kit³			
孑	孑	kit³			
揭	揭	kit³			
詰	诘	kit³			
羯	羯	kit³			
竭	竭	kit³			
鍥	锲	kit³			
頡	颉	kit³			
碣	碣	kit³			
劼	劼	kit³			
挈	挈	kit³			
訐	讦	kit³			
擷	撷	kit³/git³			
蹺	跷	kiu²	蹊蹺		
藠	藠	kiu²/kiu⁵			
蹺	跷	kiu³	高蹺，踩高蹺		
翹	翘	kiu³/hiu³	翹尾巴，翹起來	一端向上揚起，突起，高起	
蹺	跷	kiu¹/hiu¹	蹺著腳，蹺蹺板	墊起腳後跟走	
僑	侨	kiu⁴			
橋	桥	kiu⁴			
翹	翘	kiu⁴	翹首，翹望	舉起，抬起，向上	
蕎	荞	kiu⁴			
喬	乔	kiu⁴			
蹺	跷	kiu⁵	蹺腿，蹺大拇指	抬起，豎起	
丐	丐	koi³			
溉	溉	koi³			
鈣	钙	koi³			
慨	慨	koi³			
蓋	盖	koi³	蓋上，蓋好，蓋世，蓋章，覆蓋，遮蓋，涵蓋，蓋被子，蓋房子，蓋不住	（動詞）	
概	概	koi³			
愾	忾	koi³			
欬	欬	koi³			
確	确	kok³			
榷	榷	kok³			
郝	郝	kok³			
恪	恪	kok³			
慤	悫	kok³			
壑	壑	kok³			
涸	涸	kok³			
亢	亢	kong³			
抗	抗	kong³			
伉	伉	kong³			
擴	扩	kong³	擴散，擴大	（俗）	
炕	炕	kong³			
閌	闶	kong³			
扛	扛	kong¹			
鵟	𫛭	kong⁴			
劊	刽	kooi²			
賄	贿	kooi²			
潰	溃	kooi²			
獪	狯	kooi²			
聵	聩	kooi²			
繪	绘	kooi²			
膾	脍	kooi²			
鱠	鲙	kooi²			
儈	侩	kooi²			
檜	桧	kooi²			
澮	浍	kooi²			
鄶	郐	kooi²			
豁	豁	koot³			
聒	聒	koot³			
蛞	蛞	koot³			
括	括	koot³			
㺢	㺢	koot³			
箍	箍	koo¹			
蜷	蜷	kuen⁴			
顴	颧	kuen⁴			
拳	拳	kuen⁴			
權	权	kuen⁴			
鬈	鬈	kuen⁴			
獗	獗	kuet³			
決	决	kuet³			
訣	诀	kuet³			
缺	缺	kuet³			
抉	抉	kuet³			
蹶	蹶	kuet³			
厥	厥	kuet³			
孓	孓	kuet³			
蕨	蕨	kuet³			
撅	撅	kuet³			噘
闕	阙	kuet³			
玦	玦	kuet³			
闋	阕	kuet³			
炔	炔	kuet³	炔烴，乙炔		
橛	橛	kuet³/guet⁶			
區	区	kui¹		區域，地區	
拘	拘	kui¹			
驅	驱	kui¹			
俱	俱	kui¹			
軀	躯	kui¹			
嶇	岖	kui¹			
祛	祛	kui¹			
駒	驹	kui¹			
胠	胠	kui¹			
袪	袪	kui¹			
璩	璩	kui⁴			
蠼	蠼	kui⁴			蠷
瞿	瞿	kui⁴			
渠	渠	kui⁴			
衢	衢	kui⁴			
朐	朐	kui⁴			
劬	劬	kui⁴			
距	距	kui⁵			
拒	拒	kui⁵			
曲	曲	kuk¹			
麴	曲	kuk¹			
窮	穷	kung⁴			
穹	穹	kung⁴			
邛	邛	kung⁴			
逛	逛	kwaang³			
框	框	kwaang¹/hong¹			
虧	亏	kwai¹			
窺	窥	kwai¹			
盔	盔	kwai¹			
規	规	kwai¹			
巋	岿	kwai¹			
畦	畦	kwai⁴			
攜	携	kwai⁴			
睽	睽	kwai⁴			
馗	馗	kwai⁴			
喹	喹	kwai⁴			
暌	暌	kwai⁴			
夔	夔	kwai⁴			
葵	葵	kwai⁴			
逵	逵	kwai⁴			
揆	揆	kwai⁴/kwai⁵			
愧	愧	kwai⁵			
菌	菌	kwan²			
捆	捆	kwan²			綑
麕	麕	kwan²			
困	困	kwan³			
窘	窘	kwan³			
睏	困	kwan³			
坤	坤	kwan¹			堃
昆	昆	kwan¹			
崑	昆	kwan¹			
髡	髡	kwan¹			
晜	晜	kwan¹			
焜	焜	kwan¹/wan⁶			
群	群	kwan⁴			羣
裙	裙	kwan⁴			
侉	侉	kwa²			
胯	胯	kwa³			
跨	跨	kwa³			
挎	挎	kwa³			
垮	垮	kwa¹			
夸	夸	kwa¹			
誇	夸	kwa¹			
隙	隙	kwik¹/gwik¹			
擴	扩	kwok³	擴散，擴大		
漷	漷	kwok³/gwok³			
曠	旷	kwong³			
纊	纩	kwong³			
礦	矿	kwong³			
壙	圹	kwong³			
鄺	邝	kwong³/kong³			
狂	狂	kwong⁴			
癩	癞	laai³			
拉	拉	laai¹	拉車，拉扯，拉長，拉開，拉攏，拉鋸，拉貨，拉倒，拉拔，拉屎，拖拉，拉關係，拉生意，拉交情，拉買賣，拉警報，拉肚子，拉胡琴，拉二胡，拉下水，手拉手，拉手風琴，拉小提琴	拖，扯，拔，拽，牽引	
賴	赖	laai⁶			
籟	籁	laai⁶			
落	落	laai⁶	落下，丟三落四	丟下，遺漏，忘了拿，被丟在後面	
勒	勒	laak⁶/lak⁶			
肋	肋	laak⁶/lak⁶			
籃	篮	laam⁴			
襤	褴	laam⁴			
婪	婪	laam⁴			
藍	蓝	laam⁴			
嵐	岚	laam⁴			
覽	览	laam⁵			
攬	揽	laam⁵			
欖	榄	laam⁵			
纜	缆	laam⁶			
濫	滥	laam⁶			
艦	舰	laam⁶			
冷	冷	laang⁵			
蘭	兰	laan⁴			
襴	襕	laan⁴			
斕	斓	laan⁴			
欄	栏	laan⁴			
攔	拦	laan⁴			
闌	阑	laan⁴			
瀾	澜	laan⁴			
懶	懒	laan⁵			
爛	烂	laan⁶			
立	立	laap⁶			
蠟	蜡	laap⁶			
垃	垃	laap⁶			
臘	腊	laap⁶			
砬	砬	laap⁶			
鱲	𫚭	laap⁶			
邋	邋	laap⁶/laat⁶			
辣	辣	laat⁶			
拉	拉	laat⁶	拉開，拉下，拉口子，拉下一塊肉，拉了一個口子	用刀割，切開，割開，切斷，劃破	
剌	剌	laat⁶			
蝲	蝲	laat⁶			
撈	捞	laau⁴	撈魚，撈取，撈起，撈麵，打撈，捕撈，撈魚蝦，撈稻草，水中撈月，海底撈針	將東西從水中取出來	
藜	藜	lai⁴			
犂	犂	lai⁴			
黎	黎	lai⁴			
犁	犁	lai⁴			
黧	黧	lai⁴			
